table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,,,,,,,,,,
,,,,2020,,,2021,,,2022,,,2023,,,2024,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
.18 to 24 years,"30,139,704","15,376,217","14,763,487","30,099,855","15,354,589","14,745,266","30,123,975","15,365,974","14,758,001","30,456,842","15,541,983","14,914,859","30,863,216","15,761,579","15,101,637","31,363,181","16,030,162","15,333,019"
.25 to 44 years,"88,502,231","44,704,631","43,797,600","88,593,237","44,752,925","43,840,312","88,954,733","44,936,396","44,018,337","89,720,736","45,317,362","44,403,374","90,761,574","45,845,358","44,916,216","91,993,088","46,474,399","45,518,689"
.45 to 64 years,"84,291,640","41,680,043","42,611,597","84,158,286","41,610,500","42,547,786","83,489,404","41,271,222","42,218,182","82,931,518","40,976,932","41,954,586","82,586,319","40,805,307","41,781,012","82,442,081","40,737,453","41,704,628"
.65 years and over,"54,156,019","24,383,472","29,772,547","54,459,571","24,530,270","29,929,301","55,892,264","25,194,286","30,697,978","57,505,037","25,946,094","31,558,943","59,326,707","26,813,471","32,513,236","61,179,918","27,690,613","33,489,305"
,,,,,,,,,,,,,,,,,,
.16 years and over,"265,696,036","130,542,573","135,153,463","265,929,940","130,653,226","135,276,714","267,110,424","131,190,263","135,920,161","269,342,947","132,247,900","137,095,047","272,451,841","133,790,892","138,660,949","276,049,153","135,581,750","140,467,403"
.18 years and over,"257,089,594","126,144,363","130,945,231","257,310,949","126,248,284","131,062,665","258,460,376","126,767,878","131,692,498","260,614,133","127,782,371","132,831,762","263,537,816","129,225,715","134,312,101","266,978,268","130,932,627","136,045,641"
.15 to 44 years,"131,543,997","66,676,072","64,867,925","131,620,668","66,716,054","64,904,614","132,088,279","66,955,139","65,133,140","133,364,740","67,608,869","65,755,871","135,033,094","68,474,210","66,558,884","136,790,849","69,387,983","67,402,866"
,,,,,,,,,,,,,,,,,,
Median age (years),38.5,37.4,39.5,38.5,37.5,39.6,38.8,37.7,39.8,38.9,37.8,40.0,39.0,37.9,40.1,39.1,38.1,40.2
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,,,,,,,,,,
"Notes: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. Median age is calculated based on single year of age. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2020 to July 1, 2024 (NC-EST2024-AGESEX)",,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,
Release Date: June 2025,,,,,,,,,,,,,,,,,,
